"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
NH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,16,0,8,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,26,0,0,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,25,0,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,29,10,24
NJ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,33,30,1
NJ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,22,42,0
NJ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,61,0,1,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,6,35,0,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,39,2,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,54,4,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,47,1,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_CABG,Rate of readmission for CABG,1,14,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,61,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,59,1,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,40,1,20,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),13,48,3,0,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,61,1,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,9,1,17
NM,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,21,2,15
NM,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,6,19,9,8
NM,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,27,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,10,0,20,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,10,0,20,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,23,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_CABG,Rate of readmission for CABG,0,3,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,13,0,27,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,1,15,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,14,0,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,38,1,1,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,34,0,8,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,11,2,14
NV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,16,7,10
NV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,15,11,11
NV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,22,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,18,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,19,0,10,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_CABG,Rate of readmission for CABG,0,12,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,27,0,9,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,1,10,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,20,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,29,1,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,25,0,11,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,35,23,95
NY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,81,64,17
NY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,71,74,15
NY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,132,2,5,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,66,0,61,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,68,4,61,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,107,6,24,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,74,0,80,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_CABG,Rate of readmission for CABG,0,28,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,136,0,29,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,139,1,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,89,1,47,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),15,135,6,5,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,7,142,1,15,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,53,8,71
OH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,17,101,13,19
OH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,18,97,24,13
OH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,139,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,5,70,0,63,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,74,1,63,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,126,3,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,75,0,61,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_CABG,Rate of readmission for CABG,0,44,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,116,0,36,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,126,3,19,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,88,1,54,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,144,5,6,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,139,0,13,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,17,3,37
OK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,11,41,6,51
OK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,15,51,9,38
OK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,68,0,10,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,19,1,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,53,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,25,0,35,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_CABG,Rate of readmission for CABG,0,11,0,4,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,49,0,62,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,58,0,51,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,37,2,20,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,105,5,9,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,73,1,38,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,14,0,34
OR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,7,34,4,15
OR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,7,33,5,14
OR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,44,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,24,0,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,22,0,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,31,1,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,22,0,30,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_CABG,Rate of readmission for CABG,0,10,0,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,30,0,30,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,42,3,15,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,29,0,17,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,54,4,2,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,45,0,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,3,60,7,75
PA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,12,103,22,25
PA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,9,104,26,23
PA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,132,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,78,1,49,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,83,3,49,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,120,3,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,85,0,60,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_CABG,Rate of readmission for CABG,0,44,0,10,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,113,0,46,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,133,3,25,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,103,1,40,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),13,141,4,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,138,0,23,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,1,2,39
PR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,4,4,36
PR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,4,2,42
PR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,0,25,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,1,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,1,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,4,0,34,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,35,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_CABG,Rate of readmission for CABG,0,0,0,7,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,1,0,34,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,7,0,36,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,26,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,45,0,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,5,0,42,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,1,2,6
RI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,8,2,0
RI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,8,2,0
RI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,1,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,1,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,0,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,6,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,9,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,10,0,0,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,10,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,12,7,34
SC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,35,11,8
SC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,31,18,6
SC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,51,0,4,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,20,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,20,1,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,4,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,25,0,30,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_CABG,Rate of readmission for CABG,0,16,0,1,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,48,0,9,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,50,0,8,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,32,0,19,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,54,3,1,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,54,0,6,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,3,0,35
SD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,12,0,39
SD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,6,16,1,34
